track_name,artist,album,duration,listeners,playcount,artist_tags
Take Me to Church,Hozier,,,1876237,22524311,"blues, indie, soul"
Too Sweet,Hozier,,,1079013,15152648,"blues, indie, soul"
Work Song,Hozier,,,814614,9892751,"blues, indie, soul"
Like Real People Do,Hozier,,,807369,10348382,"blues, indie, soul"
Someone New,Hozier,,,804064,8049347,"blues, indie, soul"
Cherry Wine - Live,Hozier,,,673876,8018080,"blues, indie, soul"
From Eden,Hozier,,,672740,6808482,"blues, indie, soul"
Jackie and Wilson,Hozier,,,555332,6312394,"blues, indie, soul"
Would That I,Hozier,,,518786,6909937,"blues, indie, soul"
Almost (Sweet Music),Hozier,,,495923,5547283,"blues, indie, soul"
Toxic,Britney Spears,,,2433571,21776195,"pop, dance, female vocalists"
...Baby One More Time,Britney Spears,,,1687880,12430953,"pop, dance, female vocalists"
Womanizer,Britney Spears,,,1629939,14461933,"pop, dance, female vocalists"
Gimme More,Britney Spears,,,1606834,16903289,"pop, dance, female vocalists"
Oops!...I Did It Again,Britney Spears,,,1354836,9653859,"pop, dance, female vocalists"
Circus,Britney Spears,,,1277782,11959757,"pop, dance, female vocalists"
If U Seek Amy,Britney Spears,,,978674,8829924,"pop, dance, female vocalists"
I'm a Slave 4 U,Britney Spears,,,855874,7180655,"pop, dance, female vocalists"
Piece of Me,Britney Spears,,,756118,7473709,"pop, dance, female vocalists"
Till the World Ends,Britney Spears,,,669399,7281129,"pop, dance, female vocalists"
No Idea,Don Toliver,,,922336,11767416,"rap, trap, Hip-Hop"
After Party,Don Toliver,,,725376,7642049,"rap, trap, Hip-Hop"
BANDIT,Don Toliver,,,587771,7702539,"rap, trap, Hip-Hop"
No Pole,Don Toliver,,,547025,7535624,"rap, trap, Hip-Hop"
Cardigan,Don Toliver,,,540232,5861262,"rap, trap, Hip-Hop"
Private Landing (feat. Justin Bieber & Future),Don Toliver,,,480745,5109758,"rap, trap, Hip-Hop"
NEW DROP,Don Toliver,,,438329,4582597,"rap, trap, Hip-Hop"
Had Enough (feat. Quavo & Offset),Don Toliver,,,423155,5106946,"rap, trap, Hip-Hop"
TORE UP,Don Toliver,,,421294,6669773,"rap, trap, Hip-Hop"
